Y1,Y2
残酷无情,9
残虐,5
残虐不仁,9
残品,1
残破,1
残破不全,1
残缺,8
残忍,8
残杀,7
残损,3
残渣余孽,9
蚕食,3
蚕食鲸吞,7
惭凫企鹤,3
惭怍,3
惨败,8
惨不忍睹,7
惨淡,8
惨淡经营,8
惨毒,7
惨绝人寰,5
惨杀,7
惨痛,7
惨无人道,9
惨无人理,5
惨无天日,9
惨遭,8
惨重,7
仓皇失措,7
仓卒从事,5
仓卒应战,9
伧俗,5
苍凉,8
苍蝇药不死人－恶心,7
沧海遗珠,5
藏垢纳污,7
藏奸,5
藏头露尾,5
藏掖,5
操刀伤锦,5
操戈同室,5
操控,8
操切,3
操之过急,1
操之过切,5
操纵,8
嘈杂,1
草包,7
草草了事,5
草草收兵,5
草行露宿,5
草鸡,7
草间求活,5
草菅人命,9
草芥,3
草寇,5
草率,5
草率收兵,5
草木皆兵,9
草木愚夫,3
草野,3
草衣木食,1
草薙禽狝,7
侧足,3
侧足而立,5
策动,5
策划,1
曾参杀人,5
曾经沧海,7
蹭蹬,5
插翅难飞,5
插脚,7
插足,3
插嘴,7
查抄,5
查处,8
查封,5
察察为明,5
察见渊鱼,3
岔子,5
差池,3
差劲,5
差若毫釐，谬以千里,5
差三错四,5
差失,3
差误,3
差役,5
差之毫釐，谬以千里,5
差之毫釐，失之千里,5
差之毫氂，失之千里,5
拆东补西,5
拆东墙补西墙,5
拆烂污,1
拆了东墙补西墙,8
拆散,3
拆台,5
豺狐之心,7
豺虎肆虐,7
豺狼,5
豺狼成性,9
豺狼当道,9
豺狼当路,5
豺狼横道,5
掺和,3
掺假,8
搀兑,7
搀行夺市,5
搀和,7
搀假,5
搀杂,7
谗害,5
谗口嗷嗷,5
谗口铄金,5
谗佞,7
谗言,5
馋鬼,1
馋猫,1
馋涎欲滴,3
馋嘴,1
孱弱,3
孱头,3
缠磨,3
缠扰,3
缠身,8
缠手,7
蝉腹龟肠,5
产褥感染,7
谄词令色,5
谄媚,7
谄山傲下,5
谄上欺下,5
谄上抑下,5
谄笑,7
谄笑胁肩,5
谄谀,5
忏悔,8
羼杂,7
伥鬼,7
猖獗,3
猖狂,7
娼妇,7
娼妓,5
肠肥脑满,5
肠伤寒,5
肠阻塞,5
倡情冶思,5
唱筹量沙,1
唱独角戏,5
唱对台戏,5
唱反调,7
唱高调,5
抄家,7
抄袭,5
抄用,5
超标,8
超跌反弹,8
超经济剥削,5
超生,5
超速,8
超员,5
超载,5
超支,5
超重,5
巢毁卵破,5
朝不虑夕,5
朝不谋夕,3
朝不某夕,3
朝歌暮弦,5
朝歌暮宴,5
朝歌夜弦,5
朝更暮改,7
朝梁暮陈,7
朝梁暮晋,5
朝梁暮周,5
朝令夕改,7
朝秦暮楚,5
朝三暮四,5
朝中有人好做官　,7
嘲笑,5
嘲谑,5
潮乎乎,5
潮呼呼,1
潮湿,1
吵吵,3
吵架,3
吵闹,7
吵嚷,3
吵扰,3
吵人,5
吵子,3
吵嘴,5
炒作,8
扯淡,3
扯后腿,7
扯谎,3
扯皮,3
扯臊,3
扯腿,3
彻头彻尾,1
掣肘,5
撤销,8
撤销本级,8
撤资,8
尘埃传染,5
尘肺,5
尘嚣,3
沉沧,5
沉痼,5
沉沦,5
沉迷,5
沉溺,1
沉吟,5
沉吟不决,3
沉冤,7
沉渣,5
沉滞,3
陈陈相因,7
陈词滥调,5
陈腐,7
陈腐不堪,7
陈规,5
陈规陋习,5
陈规陋习　,5
陈套,3
趁火打劫,7
趁人之危,9
称王称霸,5
称薪而爨,5
成败论人,3
成见,7
成泡影,8
成事不足,8
成事不足，败事有余,9
成心,1
成性,5
承颜候色,5
城狐社鼠,5
城下之盟,7
乘风转舵,5
乘人之危,5
乘伪行诈,7
乘兴而来,7
乘兴而来，败兴而归,1
惩办,7
惩办主义,7
惩处,7
惩罚,5
惩戒,7
惩治,7
澄而不清,8
逞能,3
逞性,7
逞性妄为,7
逞性子,7
逞凶,3
吃瘪,3
吃不服,7
吃不开,7
吃不来,5
吃不上,7
吃不消,5
吃不住,5
吃不准,3
吃错药,5
吃大锅饭,5
吃独食,3
吃寡醋,5
吃后悔药,3
吃货,7
吃教,5
吃紧,5
吃劲,5
吃亏,5
吃老本,5
吃里爬外　,7
吃偏饭,3
吃无名醋,5
吃心,3
吃嘴,3
嗤笑,5
嗤之以鼻,9
痴呆,5
痴肥,3
痴话,1
痴人说梦,5
痴想,5
痴心妄想,9
痴愚,7
痴子,7
魑魅,7
魑魅魍魉,7
池鱼之祸,7
弛缓,3
弛懈,3
迟到,3
迟钝,5
迟缓,1
迟误,3
迟延,1
迟疑不决,3
迟滞,1
齿冷,5
侈糜,9
侈谈,5
耻骂,5
耻辱,7
耻笑,5
褫其华衮，示人本相,7
叱呵,5
叱骂,9
叱问,3
斥骂,3
斥责,7
斥逐,9
赤白痢,5
赤口毒舌,5
赤佬,5
赤痢,7
赤裸裸,3
赤霉病,7
赤贫,3
赤舌烧城,5
炽燥,5
跅弛不羁,7
跅幪不羁,7
跅弢不羁,7
冲犯,3
冲杀,3
冲突,8
冲撞,1
充耳不闻,5
充数,3
忡忡,5
崇洋,3
崇洋媚外,7
宠儿,3
抽抽儿,1
抽贷,8
抽风,5
仇敌,5
仇人相见，分外眼红,8
仇视,7
仇外,7
仇隙,5
诪张,5
诪张变眩,7
诪张为幻,7
愁惨,5
愁肠寸断,9
愁眉,7
愁绪,1
踌躇不决,3
踌躇不前,3
丑八怪,5
丑诋,5
丑恶,5
丑行,5
丑化,3
丑话,1
丑角,3
丑剧,1
丑类,5
丑陋,5
丑婆子,7
丑史,5
丑事,5
丑态,3
丑态百出,5
丑态毕露,9
丑闻,3
臭不可当,9
臭不可闻,9
臭烘烘,9
臭哄哄,9
臭乎乎,7
臭架子,1
臭名,3
臭名远扬,9
臭名昭彰,9
臭名昭著,7
臭皮囊,7
臭棋,1
臭气冲天,9
臭气熏天,9
臭肉来蝇,9
臭味相投,5
臭嘴,3
出丑,3
出尔反尔,5
出格,3
出乖露丑,5
出轨,3
出疆载质,9
出局,1
出口伤人,5
出毛病,5
出圈儿,5
出人意表,7
出逃,3
出言不逊,5
出言无状,7
初现端倪,8
樗栎庸材　,5
楚囚对泣,3
处罚,8
处分,8
处境不利,8
处理不当,8
处心积虑,5
怵心刿目,7
畜生,9
触底,8
触犯,3
触礁,8
触目,7
触目兴叹,1
憷场,1
憷头,3
穿窬,5
穿窬之盗,7
穿凿,3
穿凿附会,5
船到江心补漏迟,9
舛错,3
舛讹,3
舛误,5
串供,3
串骗,5
串通,1
疮痍,7
闯祸,5
吹篪乞食,1
吹大法螺,8
吹大气,7
吹胡子瞪眼,5
吹擂,5
吹毛求疵,5
吹牛,3
吹拍,5
吹求,5
吹箫乞食,5
吹嘘,3
垂怜,3
垂帘听政,9
垂暮,7
垂危,7
垂涎,5
垂涎三尺,7
垂涎欲滴,7
春蚕自缚,5
春露秋霜,7
唇干口燥,7
唇焦舌敝,8
唇枪舌剑,6
鹑衣,1
蠢笨,7
蠢材,7
蠢蠢,3
蠢蠢欲动,5
蠢动,9
蠢话,5
蠢货,7
蠢人,5
蠢如鹿豕,5
蠢事,3
蠢头蠢脑,7
戳脊梁骨,5
啜菽饮水,1
惙怛伤悴,9
疵点,3
疵品,3
词不达意,3
辞不达意,8
辞任,8
辞职,8
雌老虎,5
此地无银三百两,5
此一时，彼一时,3
次等,1
次货,3
次品,3
刺刺不休,3
刺儿话,3
刺儿头,3
刺耳,3
刺激,5
刺激性毒剂,7
刺目,3
刺杀,7
刺眼,1
聪明反被聪明误,5
从犯,7
从风而服,3
从井救人,5
从权,1
凑和,1
凑热闹儿,5
粗暴,5
粗笨,5
粗鄙,7
粗服乱头,1
粗浮,7
粗犷,3
粗话,3
粗活,5
粗拉,1
粗劣,5
粗陋,7
粗鲁,5
粗率,5
粗蛮,7
粗莽,5
粗浅,3
粗手笨脚,5
粗疏,3
粗俗,7
粗腿病,7
粗心,3
粗心大意,5
粗野,5
粗枝大叶,1
粗制滥造,5
粗拙,5
促狭,3
醋劲儿,7
醋坛子,5
醋心,1
醋意,1
蹙蹙靡骋,5
蹙国百里,7
蹙国丧师,7
撺掇,7
窜端匿迹,3
窜犯,5
窜改,3
窜扰,5
窜逃,3
篡夺,5
篡改,5
篡国,5
篡权,5
篡位,7
爨桂炊玉,3
催逼,3
催命,9
催迫,5
催收,8
摧残,5
摧毁,7
摧眉折腰,3
榱崩栋折,7
败类,7
脆而不坚,5
村夫俗子,5
村话,5
